time,value
2025-02-27T08:14:11.415834243Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:12.419863998Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:13.415024131Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:14.417861138Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:15.47403383Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:16.408549438Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:17.408848867Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:18.406337932Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:19.407356115Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:20.416362364Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:21.41052098Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:22.407926109Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:23.420094723Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:24.403264785Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:25.410590284Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:26.451569775Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:27.403590703Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:28.410312696Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:29.409511671Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:30.406727819Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:31.413223763Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:32.418487877Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:33.413096581Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:34.407973944Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:35.418012618Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:36.410277774Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:37.418545916Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:38.424263676Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:39.41562502Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:40.423020695Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:41.402412275Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:42.405383456Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:43.407229094Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:44.411526731Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:45.433047214Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:46.432091273Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:47.421547043Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:48.424085805Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:49.430207314Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:14:50.455622037Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:23.23118887Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:24.270511458Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:25.247600232Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:26.244911567Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:27.245102372Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:28.224935135Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:29.235419091Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:30.254721968Z,"{""lat"":11.1069203,""lon"":106.6148418}"
