time,value
2025-03-09T02:28:54.504195346Z,"{""lat"":10.7981091,""lon"":106.6698687}"
2025-03-09T02:43:55.328420979Z,"{""lat"":10.7981201,""lon"":106.6698778}"
2025-03-09T02:43:56.278427206Z,"{""lat"":10.7981201,""lon"":106.6698778}"
2025-03-09T02:43:57.26123445Z,"{""lat"":10.7981201,""lon"":106.6698778}"
2025-03-09T02:43:58.317495382Z,"{""lat"":10.7981201,""lon"":106.6698778}"
2025-03-09T02:43:59.266311123Z,"{""lat"":10.7981201,""lon"":106.6698778}"
2025-03-09T02:44:00.276595424Z,"{""lat"":10.7981201,""lon"":106.6698778}"
2025-03-09T02:44:01.266425088Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:02.316414654Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:03.358523627Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:04.338596657Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:05.37143892Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:06.348794486Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:07.276421879Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:08.348604703Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:09.286629096Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:10.338330623Z,"{""lat"":10.7981028,""lon"":106.6698939}"
2025-03-09T02:44:11.338252805Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:12.336802031Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:13.338519971Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:14.348434688Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:15.348322034Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:16.328319061Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:17.348394627Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:44:18.359251494Z,"{""lat"":10.7981039,""lon"":106.6698659}"
2025-03-09T02:45:16.437290491Z,"{""lat"":10.7981064,""lon"":106.6698663}"
2025-03-09T02:45:17.446615692Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:18.436264733Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:19.424603472Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:20.379330805Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:21.374906474Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:22.42913617Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:23.456648374Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:24.446626903Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:25.456745655Z,"{""lat"":10.798123,""lon"":106.6698667}"
2025-03-09T02:45:26.384225718Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:27.446481202Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:28.464285187Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:29.446195209Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:30.444146248Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:31.456319445Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:32.446246342Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:33.454469371Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:34.446157058Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:35.394137066Z,"{""lat"":10.798045,""lon"":106.6697966}"
2025-03-09T02:45:36.392348234Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:37.466216603Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:38.456311186Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:39.446437784Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:40.456693129Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:41.446159821Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:42.456626621Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:43.44623401Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:44.494304977Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:45.464465545Z,"{""lat"":10.7980731,""lon"":106.6699021}"
2025-03-09T02:45:46.397315359Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:47.464273519Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:48.49633478Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:49.436593447Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:50.45708866Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:51.459285618Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:52.474318647Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:53.476551691Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:54.474330157Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:55.46617923Z,"{""lat"":10.7980678,""lon"":106.669701}"
2025-03-09T02:45:56.39953843Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:45:57.474218038Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:45:58.486027601Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:45:59.496225115Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:00.474471522Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:01.466261823Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:02.476459178Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:03.493075079Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:04.546057404Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:05.463036654Z,"{""lat"":10.7981218,""lon"":106.66968}"
2025-03-09T02:46:06.545036173Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:07.414067329Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:08.463048795Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:09.613184265Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:10.533060318Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:11.562854458Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:12.50429473Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:13.51311074Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:14.505121716Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:15.444296709Z,"{""lat"":10.7981608,""lon"":106.6692077}"
2025-03-09T02:46:16.443059654Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:17.473221525Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:18.463012258Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:19.4833961Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:20.508709368Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:21.468504368Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:22.486213658Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:23.478391623Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:24.477557284Z,"{""lat"":10.7982322,""lon"":106.6686049}"
2025-03-09T02:46:25.469010101Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:26.528284432Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:27.47869751Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:28.478706783Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:29.468753619Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:30.468998923Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:31.468442385Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:32.478589396Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:33.468730033Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:34.46621953Z,"{""lat"":10.7982221,""lon"":106.6680886}"
2025-03-09T02:46:35.476773199Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:36.508544754Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:37.468661592Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:38.486332584Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:39.478728709Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:40.468541282Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:41.468400573Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:42.478796624Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:43.528679098Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:44.46854462Z,"{""lat"":10.7982608,""lon"":106.6678536}"
2025-03-09T02:46:45.504359436Z,"{""lat"":10.7982257,""lon"":106.6678366}"
2025-03-09T02:46:46.538266408Z,"{""lat"":10.7982257,""lon"":106.6678366}"
2025-03-09T02:46:47.468501243Z,"{""lat"":10.7982257,""lon"":106.6678366}"
2025-03-09T02:46:48.54878805Z,"{""lat"":10.7982257,""lon"":106.6678366}"
2025-03-09T02:46:49.478531598Z,"{""lat"":10.7982257,""lon"":106.6678366}"
2025-03-09T02:46:50.458370341Z,"{""lat"":10.7982257,""lon"":106.6678366}"
2025-03-09T02:47:42.538346827Z,"{""lat"":10.7982276,""lon"":106.6678305}"
2025-03-09T02:47:43.457555221Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:44.497316657Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:45.421760456Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:46.617477052Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:47.409409926Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:48.461432602Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:49.481420122Z,"{""lat"":10.7982523,""lon"":106.667844}"
2025-03-09T02:47:50.461614488Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:51.46166324Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:52.40150615Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:53.477525771Z,"{""lat"":10.7982634,""lon"":106.6678408}"
